129
127
1.00000
1.00000
435.50000
8.00	5.00	9.00	7.00	12.00	8.00	8.00	4.00	11.00	9.00	15.00	0.00	6.00	8.00	8.00	12.00	6.00	0.00	5.00	0.00	0.00	3.00	7.00	4.00	3.00	5.00	8.00	5.00	0.00	10.00	3.00	12.00	3.00	8.00	4.00	4.00	11.00	0.00	1.00	9.00	9.00	7.00	8.00	9.00	18.00	15.00	18.00	8.00	9.00	0.00	21.00	21.00	3.00	1.00	10.00	7.00	1.00	6.00	7.00	0.00	5.00	5.00	9.00	4.00	4.00	6.00	0.00	8.00	4.00	9.00	5.00	8.00	4.00	2.00	19.00	13.00	3.00	10.00	1.00	10.00	0.00	18.00	13.00	8.00	2.00	14.00	12.00	11.00	9.00	14.00	3.00	9.00	6.00	12.00	12.00	0.00	0.00	7.00	9.00	5.00	10.00	11.00	10.00	13.00	4.00	4.00	2.00	9.00	9.00	1.00	8.00	0.00	0.00	5.00	3.00	16.00	5.00	9.00	8.00	10.00	0.00	8.00	1.00	5.00	7.00	9.00	6.00
6.00	0.00	9.00	4.00	3.00	10.00	1.00	8.00	3.00	14.00	19.00	2.00	12.00	0.00	5.00	20.00	16.00	15.00	8.00	9.00	0.00	16.00	5.00	9.00	10.00	8.00	0.00	7.00	5.00	1.00	12.00	7.00	0.00	12.00	10.00	3.00	0.00	5.00	3.00	13.00	6.00	3.00	22.00	13.00	0.00	7.00	0.00	8.00	9.00	9.00	0.00	10.00	9.00	12.00	1.00	16.00	11.00	9.00	13.00	3.00	7.00	3.00	5.00	10.00	5.00	7.00	12.00	6.00	11.00	11.00	13.00	12.00	4.00	14.00	9.00	9.00	8.00	18.00	11.00	4.00	13.00	10.00	11.00	9.00	7.00	0.00	8.00	2.00	8.00	1.00	8.00	12.00	7.00	13.00	1.00	9.00	6.00	11.00	13.00	1.00	8.00	2.00	0.00	5.00	5.00	4.00	10.00	3.00	3.00	21.00	9.00	7.00	17.00	11.00	6.00	11.00	13.00	12.00	10.00	0.00	10.00	1.00	0.00	2.00	2.00	17.00	3.00
5.00	0.00	9.00	1.00	3.00	0.00	0.00	6.00	13.00	5.00	0.00	18.00	9.00	7.00	3.00	3.00	8.00	12.00	7.00	12.00	9.00	6.00	15.00	0.00	11.00	1.00	1.00	6.00	14.00	9.00	10.00	0.00	12.00	8.00	3.00	9.00	12.00	19.00	6.00	7.00	17.00	11.00	3.00	12.00	14.00	8.00	4.00	12.00	6.00	20.00	5.00	12.00	6.00	15.00	8.00	8.00	4.00	8.00	6.00	19.00	10.00	4.00	22.00	17.00	6.00	11.00	6.00	6.00	13.00	3.00	6.00	4.00	8.00	14.00	5.00	0.00	15.00	11.00	10.00	16.00	9.00	7.00	5.00	13.00	1.00	16.00	13.00	13.00	13.00	5.00	8.00	10.00	4.00	10.00	3.00	6.00	2.00	0.00	11.00	5.00	7.00	11.00	0.00	13.00	11.00	0.00	13.00	7.00	6.00	8.00	0.00	8.00	9.00	11.00	11.00	3.00	18.00	12.00	13.00	7.00	1.00	6.00	9.00	3.00	5.00	6.00	0.00
9.00	6.00	10.00	6.00	6.00	3.00	0.00	2.00	0.00	17.00	9.00	8.00	5.00	14.00	10.00	0.00	4.00	8.00	10.00	0.00	4.00	10.00	3.00	12.00	1.00	14.00	11.00	11.00	0.00	9.00	6.00	2.00	8.00	0.00	14.00	3.00	0.00	2.00	12.00	15.00	0.00	14.00	0.00	3.00	8.00	13.00	3.00	4.00	12.00	17.00	5.00	5.00	9.00	13.00	10.00	12.00	13.00	8.00	2.00	0.00	5.00	13.00	8.00	6.00	1.00	12.00	4.00	16.00	6.00	7.00	8.00	5.00	10.00	0.00	9.00	9.00	11.00	15.00	0.00	6.00	9.00	13.00	13.00	12.00	7.00	0.00	5.00	6.00	11.00	16.00	13.00	11.00	13.00	19.00	8.00	7.00	3.00	8.00	10.00	9.00	1.00	4.00	7.00	13.00	23.00	0.00	6.00	0.00	10.00	4.00	13.00	21.00	10.00	5.00	14.00	10.00	7.00	11.00	4.00	4.00	2.00	13.00	12.00	2.00	9.00	8.00	14.00
11.00	11.00	5.00	7.00	5.00	1.00	9.00	5.00	11.00	0.00	2.00	0.00	4.00	2.00	4.00	13.00	2.00	2.00	6.00	14.00	5.00	2.00	7.00	6.00	6.00	11.00	4.00	2.00	10.00	17.00	0.00	15.00	1.00	8.00	13.00	4.00	10.00	5.00	11.00	18.00	17.00	13.00	15.00	9.00	5.00	9.00	10.00	6.00	11.00	1.00	11.00	12.00	8.00	16.00	11.00	5.00	9.00	13.00	11.00	0.00	12.00	11.00	15.00	17.00	10.00	12.00	8.00	13.00	7.00	4.00	0.00	16.00	5.00	2.00	5.00	16.00	2.00	12.00	8.00	10.00	11.00	5.00	15.00	10.00	13.00	0.00	10.00	7.00	18.00	1.00	7.00	9.00	2.00	3.00	4.00	4.00	0.00	4.00	10.00	4.00	7.00	10.00	8.00	6.00	8.00	5.00	5.00	6.00	2.00	12.00	12.00	8.00	1.00	4.00	13.00	15.00	4.00	8.00	7.00	6.00	15.00	12.00	9.00	3.00	3.00	5.00	4.00
1.00	13.00	13.00	3.00	10.00	9.00	14.00	0.00	3.00	14.00	6.00	2.00	10.00	3.00	0.00	5.00	10.00	10.00	13.00	9.00	12.00	2.00	8.00	0.00	10.00	0.00	9.00	14.00	8.00	14.00	0.00	14.00	0.00	5.00	0.00	9.00	10.00	11.00	13.00	2.00	2.00	13.00	10.00	17.00	6.00	0.00	6.00	1.00	0.00	9.00	11.00	9.00	16.00	17.00	2.00	14.00	6.00	11.00	8.00	10.00	0.00	3.00	4.00	0.00	16.00	10.00	12.00	12.00	11.00	5.00	14.00	13.00	6.00	7.00	0.00	5.00	2.00	3.00	18.00	13.00	3.00	10.00	5.00	6.00	14.00	12.00	2.00	4.00	3.00	11.00	10.00	0.00	2.00	6.00	12.00	0.00	10.00	0.00	11.00	2.00	11.00	13.00	12.00	10.00	11.00	3.00	3.00	18.00	13.00	0.00	7.00	14.00	4.00	9.00	11.00	4.00	14.00	10.00	5.00	11.00	7.00	11.00	0.00	13.00	13.00	6.00	0.00
10.00	10.00	11.00	0.00	1.00	5.00	4.00	0.00	1.00	5.00	7.00	13.00	0.00	0.00	9.00	19.00	2.00	7.00	0.00	6.00	1.00	12.00	13.00	5.00	6.00	5.00	10.00	5.00	5.00	10.00	7.00	4.00	0.00	13.00	4.00	15.00	4.00	7.00	5.00	4.00	5.00	10.00	8.00	0.00	0.00	17.00	3.00	14.00	2.00	2.00	0.00	1.00	1.00	12.00	0.00	5.00	5.00	0.00	7.00	7.00	4.00	16.00	5.00	10.00	12.00	2.00	9.00	11.00	2.00	13.00	17.00	11.00	19.00	14.00	3.00	6.00	12.00	13.00	0.00	13.00	8.00	8.00	7.00	11.00	0.00	6.00	2.00	16.00	20.00	11.00	0.00	13.00	8.00	2.00	10.00	9.00	12.00	13.00	0.00	11.00	3.00	1.00	6.00	3.00	8.00	10.00	6.00	14.00	13.00	4.00	4.00	3.00	14.00	3.00	14.00	6.00	9.00	12.00	8.00	8.00	8.00	6.00	4.00	0.00	5.00	10.00	5.00
0.00	2.00	0.00	11.00	1.00	14.00	1.00	2.00	8.00	1.00	6.00	0.00	15.00	12.00	14.00	11.00	5.00	0.00	4.00	0.00	6.00	6.00	8.00	2.00	6.00	5.00	12.00	2.00	3.00	4.00	4.00	9.00	2.00	3.00	5.00	3.00	1.00	25.00	10.00	6.00	4.00	0.00	0.00	0.00	15.00	11.00	8.00	3.00	10.00	17.00	6.00	7.00	17.00	16.00	18.00	0.00	5.00	15.00	10.00	11.00	8.00	0.00	4.00	13.00	11.00	9.00	12.00	6.00	13.00	3.00	2.00	8.00	16.00	7.00	9.00	11.00	4.00	10.00	14.00	20.00	10.00	8.00	8.00	12.00	8.00	16.00	15.00	17.00	14.00	19.00	16.00	5.00	19.00	1.00	16.00	10.00	9.00	11.00	7.00	12.00	12.00	8.00	14.00	9.00	18.00	5.00	20.00	4.00	7.00	15.00	10.00	6.00	14.00	6.00	7.00	5.00	7.00	0.00	3.00	11.00	10.00	0.00	5.00	2.00	9.00	0.00	13.00
6.00	5.00	3.00	14.00	5.00	5.00	3.00	7.00	2.00	6.00	6.00	11.00	0.00	10.00	4.00	13.00	0.00	0.00	2.00	9.00	9.00	7.00	9.00	12.00	12.00	0.00	2.00	9.00	5.00	12.00	7.00	5.00	11.00	5.00	6.00	0.00	11.00	7.00	13.00	12.00	11.00	9.00	0.00	8.00	1.00	3.00	3.00	2.00	11.00	7.00	5.00	5.00	3.00	2.00	9.00	6.00	9.00	0.00	6.00	1.00	12.00	5.00	11.00	10.00	12.00	10.00	4.00	9.00	13.00	9.00	11.00	13.00	15.00	0.00	7.00	12.00	0.00	0.00	3.00	16.00	13.00	8.00	3.00	3.00	11.00	0.00	17.00	7.00	3.00	5.00	6.00	7.00	11.00	0.00	6.00	5.00	5.00	16.00	8.00	6.00	1.00	11.00	6.00	12.00	3.00	3.00	0.00	12.00	1.00	14.00	11.00	6.00	14.00	14.00	5.00	0.00	3.00	0.00	2.00	9.00	6.00	8.00	17.00	3.00	2.00	10.00	3.00
2.00	1.00	21.00	7.00	10.00	5.00	17.00	5.00	10.00	0.00	4.00	11.00	0.00	0.00	1.00	14.00	7.00	2.00	4.00	9.00	2.00	6.00	8.00	7.00	8.00	3.00	12.00	3.00	8.00	1.00	10.00	11.00	19.00	1.00	12.00	0.00	2.00	0.00	4.00	4.00	2.00	0.00	8.00	12.00	12.00	0.00	1.00	13.00	1.00	6.00	10.00	9.00	9.00	9.00	9.00	8.00	4.00	12.00	6.00	10.00	12.00	11.00	9.00	14.00	5.00	14.00	11.00	9.00	15.00	13.00	5.00	17.00	9.00	15.00	8.00	2.00	15.00	5.00	16.00	12.00	6.00	1.00	9.00	7.00	2.00	10.00	6.00	9.00	5.00	5.00	13.00	9.00	8.00	16.00	12.00	8.00	10.00	12.00	14.00	9.00	18.00	15.00	21.00	4.00	9.00	5.00	6.00	9.00	3.00	4.00	14.00	4.00	0.00	1.00	7.00	6.00	10.00	11.00	7.00	6.00	6.00	6.00	1.00	13.00	8.00	3.00	18.00
